3.0	     -77.42190493         0.05562274         1.51357235
3.2	     -77.40236736         0.04383022         1.19268150
3.4	     -77.38117999         0.03407766         0.92730072
7.6	     -77.29069369         0.00198779         0.05409066
7.8	     -77.23861143         0.05435449         1.47906171
8.0	     -77.23845153         0.05472374         1.48910946
9.0	     -77.23807327         0.05560315         1.51303944
10.0	     -77.23994755         0.05464810         1.48705118
11.0	     -77.24474545         0.05074521         1.38084797
12.0	     -77.24631554         0.04948269         1.34649307
